window,h,true,lstm,last_sinr
45,2,5.8228965,7.3579464,7.878216
45,3,3.779205,7.3127604,7.878216
46,1,5.8228965,7.295247,8.290338
46,2,3.779205,7.3315854,8.290338
46,3,6.813749,7.2942963,8.290338
47,1,3.779205,7.3114834,5.8228965
47,2,6.813749,7.307013,5.8228965
47,3,6.9407887,7.291174,5.8228965
48,1,6.813749,7.3387756,3.779205
48,2,6.9407887,7.3171744,3.779205
48,3,4.898395,7.308147,3.779205
49,1,6.9407887,7.317577,6.813749
49,2,4.898395,7.3593316,6.813749
49,3,8.081932,7.327946,6.813749
50,1,4.898395,7.3183966,6.9407887
50,2,8.081932,7.3848133,6.9407887
50,3,9.635776,7.339397,6.9407887
51,1,8.081932,7.346826,4.898395
51,2,9.635776,7.393567,4.898395
51,3,7.8842783,7.3484163,4.898395
52,1,9.635776,7.3023386,8.081932
52,2,7.8842783,7.392001,8.081932
52,3,4.1600437,7.333369,8.081932
53,1,7.8842783,7.3070936,9.635776
53,2,4.1600437,7.4172263,9.635776
53,3,7.6180816,7.346808,9.635776
54,1,4.1600437,7.324308,7.8842783
54,2,7.6180816,7.4023695,7.8842783
54,3,8.185645,7.3440886,7.8842783
55,1,7.6180816,7.3661237,4.1600437
55,2,8.185645,7.3789306,4.1600437
55,3,7.8309665,7.3459415,4.1600437
56,1,8.185645,7.347648,7.6180816
56,2,7.8309665,7.400593,7.6180816
56,3,7.174304,7.3582273,7.6180816
57,1,7.8309665,7.336767,8.185645
57,2,7.174304,7.4098253,8.185645
57,3,5.1210203,7.359129,8.185645
58,1,7.174304,7.3369703,7.8309665
58,2,5.1210203,7.4061875,7.8309665
58,3,7.253433,7.356149,7.8309665
59,1,5.1210203,7.344649,7.174304
59,2,7.253433,7.399103,7.174304
59,3,7.2701397,7.3552947,7.174304
60,1,7.253433,7.3710876,5.1210203
60,2,7.2701397,7.394611,5.1210203
60,3,8.408089,7.361337,5.1210203
61,1,7.2701397,7.357625,7.253433
61,2,8.408089,7.408834,7.253433
61,3,-1.9378442,7.366966,7.253433
62,1,8.408089,7.354022,7.2701397
62,2,-1.9378442,7.4147253,7.2701397
62,3,8.545808,7.368083,7.2701397
63,1,-1.9378442,7.341156,8.408089
63,2,8.545808,7.4175215,8.408089
63,3,7.8702836,7.3641715,8.408089
64,1,8.545808,7.424892,-1.9378442
64,2,7.8702836,7.390403,-1.9378442
64,3,7.464988,7.350332,-1.9378442
65,1,7.8702836,7.366331,8.545808
65,2,7.464988,7.4247847,8.545808
65,3,3.7827961,7.3663907,8.545808
66,1,7.464988,7.3506193,7.8702836
66,2,3.7827961,7.4325976,7.8702836
66,3,7.741993,7.368982,7.8702836
67,1,3.7827961,7.350285,7.464988
67,2,7.741993,7.426578,7.464988
67,3,5.827923,7.3679695,7.464988
68,1,7.741993,7.3900876,3.7827961
68,2,5.827923,7.4122458,3.7827961
68,3,8.776787,7.3707166,3.7827961
69,1,5.827923,7.367318,7.741993
69,2,8.776787,7.4267764,7.741993
69,3,8.450462,7.3768983,7.741993
70,1,8.776787,7.377603,5.827923
70,2,8.450462,7.4243917,5.827923
70,3,1.637403,7.3778787,5.827923
71,1,8.450462,7.353046,8.776787
71,2,1.637403,7.432002,8.776787
71,3,7.3017974,7.375136,8.776787
72,1,1.637403,7.3447824,8.450462
72,2,7.3017974,7.4241514,8.450462
72,3,6.5368342,7.366809,8.450462
73,1,7.3017974,7.4088755,1.637403
73,2,6.5368342,7.397526,1.637403
73,3,6.0026317,7.3639827,1.637403
74,1,6.5368342,7.3750076,7.3017974
74,2,6.0026317,7.42068,7.3017974
74,3,8.6358595,7.3747973,7.3017974
75,1,6.0026317,7.3712707,6.5368342
75,2,8.6358595,7.426808,6.5368342
75,3,9.04294,7.3770514,6.5368342
76,1,8.6358595,7.377208,6.0026317
76,2,9.04294,7.426952,6.0026317
76,3,4.324559,7.37862,6.0026317
77,1,9.04294,7.3553486,8.6358595
77,2,4.324559,7.4340844,8.6358595
77,3,0.8908818,7.376566,8.6358595
78,1,4.324559,7.339843,9.04294
78,2,0.8908818,7.427766,9.04294
78,3,6.4489293,7.36591,9.04294
79,1,0.8908818,7.3837366,4.324559
79,2,6.4489293,7.401737,4.324559
79,3,6.3062506,7.365427,4.324559
80,1,6.4489293,7.4176493,0.8908818
80,2,6.3062506,7.3995833,0.8908818
80,3,8.916717,7.3637156,0.8908818
81,1,6.3062506,7.3848395,6.4489293
81,2,8.916717,7.4248734,6.4489293
81,3,7.6686406,7.374602,6.4489293
82,1,8.916717,7.376993,6.3062506
82,2,7.6686406,7.433709,6.3062506
82,3,8.620012,7.377916,6.3062506
83,1,7.6686406,7.3525515,8.916717
83,2,8.620012,7.4411654,8.916717
83,3,9.087447,7.3758802,8.916717
84,1,8.620012,7.354248,7.6686406
84,2,9.087447,7.429562,7.6686406
84,3,5.410734,7.3709326,7.6686406
85,1,9.087447,7.3431478,8.620012
85,2,5.410734,7.4198136,8.620012
85,3,7.0920253,7.362611,8.620012
86,1,5.410734,7.327409,9.087447
86,2,7.0920253,7.403595,9.087447
86,3,6.165943,7.3464866,9.087447
87,1,7.0920253,7.3603997,5.410734
87,2,6.165943,7.375315,5.410734
87,3,5.3461514,7.3451276,5.410734
88,1,6.165943,7.3482914,7.0920253
88,2,5.3461514,7.3830156,7.0920253
88,3,5.7836113,7.350552,7.0920253
89,1,5.3461514,7.353952,6.165943
89,2,5.7836113,7.388522,6.165943
89,3,8.346408,7.355215,6.165943
90,1,5.7836113,7.3664246,5.3461514
90,2,8.346408,7.3974085,5.3461514
90,3,7.9556828,7.362107,5.3461514
91,1,8.346408,7.3688755,5.7836113
91,2,7.9556828,7.410797,5.7836113
91,3,4.9001007,7.368796,5.7836113
92,1,7.9556828,7.348271,8.346408
92,2,4.9001007,7.4259396,8.346408
92,3,8.128291,7.370573,8.346408
93,1,4.9001007,7.3455195,7.9556828
93,2,8.128291,7.424259,7.9556828
93,3,6.635829,7.367475,7.9556828
94,1,8.128291,7.377411,4.9001007
94,2,6.635829,7.410463,4.9001007
94,3,9.4135895,7.3688593,4.9001007
95,1,6.635829,7.3559504,8.128291
95,2,9.4135895,7.421285,8.128291
95,3,8.023031,7.371184,8.128291
96,1,9.4135895,7.361145,6.635829
96,2,8.023031,7.4163966,6.635829
96,3,8.457768,7.3695683,6.635829
97,1,8.023031,7.3340693,9.4135895
97,2,8.457768,7.4207125,9.4135895
97,3,10.096968,7.3618464,9.4135895
98,1,8.457768,7.3336606,8.023031
98,2,10.096968,7.403636,8.023031
98,3,9.406612,7.3508315,8.023031
99,1,10.096968,7.3269124,8.457768
99,2,9.406612,7.39033,8.457768
99,3,7.722819,7.3411484,8.457768
100,1,9.406612,7.294907,10.096968
100,2,7.722819,7.3717136,10.096968
100,3,7.486125,7.313703,10.096968
101,1,7.722819,7.2782965,9.406612
101,2,7.486125,7.327608,9.406612
101,3,7.3103976,7.281875,9.406612
102,1,7.486125,7.2845054,7.722819
102,2,7.3103976,7.270662,7.722819
102,3,5.0060854,7.260593,7.722819
103,1,7.3103976,7.291049,7.486125
103,2,5.0060854,7.223457,7.486125
103,3,8.981854,7.2367945,7.486125
104,1,5.0060854,7.284424,7.3103976
104,2,8.981854,7.202105,7.3103976
104,3,7.901076,7.2142634,7.3103976
105,1,8.981854,7.301403,5.0060854
105,2,7.901076,7.183033,5.0060854
105,3,6.181252,7.2169127,5.0060854
106,1,7.901076,7.247779,8.981854
106,2,6.181252,7.205043,8.981854
106,3,8.729381,7.1958055,8.981854
107,1,6.181252,7.2598214,7.901076
107,2,8.729381,7.1848907,7.901076
107,3,7.043812,7.155141,7.901076
108,1,8.729381,7.273907,6.181252
108,2,7.043812,7.1753554,6.181252
108,3,9.368897,7.157885,6.181252
109,1,7.043812,7.2569375,8.729381
109,2,9.368897,7.185003,8.729381
109,3,6.730286,7.1502743,8.729381
110,1,9.368897,7.311021,7.043812
110,2,6.730286,7.145783,7.043812
110,3,7.366226,7.1254673,7.043812
111,1,6.730286,7.3060637,9.368897
111,2,7.366226,7.1544366,9.368897
