window,h,true,lstm,last_sinr
45,2,5.8228965,7.2681355,7.878216
45,3,3.779205,7.3304687,7.878216
46,1,5.8228965,7.274042,8.290338
46,2,3.779205,7.2397747,8.290338
46,3,6.813749,7.3026423,8.290338
47,1,3.779205,7.2960916,5.8228965
47,2,6.813749,7.2537637,5.8228965
47,3,6.9407887,7.2876167,5.8228965
48,1,6.813749,7.3371863,3.779205
48,2,6.9407887,7.2976313,3.779205
48,3,4.898395,7.330909,3.779205
49,1,6.9407887,7.3129544,6.813749
49,2,4.898395,7.29553,6.813749
49,3,8.081932,7.3660135,6.813749
50,1,4.898395,7.304757,6.9407887
50,2,8.081932,7.308869,6.9407887
50,3,9.635776,7.380868,6.9407887
51,1,8.081932,7.3524294,4.898395
51,2,9.635776,7.3484855,4.898395
51,3,7.8842783,7.3825254,4.898395
52,1,9.635776,7.3074474,8.081932
52,2,7.8842783,7.3288846,8.081932
52,3,4.1600437,7.3897953,8.081932
53,1,7.8842783,7.3044853,9.635776
53,2,4.1600437,7.3246646,9.635776
53,3,7.6180816,7.382064,9.635776
54,1,4.1600437,7.331714,7.8842783
54,2,7.6180816,7.333238,7.8842783
54,3,8.185645,7.3659043,7.8842783
55,1,7.6180816,7.4021654,4.1600437
55,2,8.185645,7.3807464,4.1600437
55,3,7.8309665,7.3611393,4.1600437
56,1,8.185645,7.371805,7.6180816
56,2,7.8309665,7.358467,7.6180816
56,3,7.174304,7.3848734,7.6180816
57,1,7.8309665,7.3496633,8.185645
57,2,7.174304,7.34799,8.185645
57,3,5.1210203,7.3866944,8.185645
58,1,7.174304,7.349627,7.8309665
58,2,5.1210203,7.34458,7.8309665
58,3,7.253433,7.3791404,7.8309665
59,1,5.1210203,7.3590913,7.174304
59,2,7.253433,7.3483186,7.174304
59,3,7.2701397,7.3745003,7.174304
60,1,7.253433,7.399104,5.1210203
60,2,7.2701397,7.3728123,5.1210203
60,3,8.408089,7.3749804,5.1210203
61,1,7.2701397,7.3744316,7.253433
61,2,8.408089,7.359073,7.253433
61,3,-1.9378442,7.389702,7.253433
62,1,8.408089,7.365894,7.2701397
62,2,-1.9378442,7.3579693,7.2701397
62,3,8.545808,7.390319,7.2701397
63,1,-1.9378442,7.3452153,8.408089
63,2,8.545808,7.346758,8.408089
63,3,7.8702836,7.3876734,8.408089
64,1,8.545808,7.4707494,-1.9378442
64,2,7.8702836,7.4286895,-1.9378442
64,3,7.464988,7.375988,-1.9378442
65,1,7.8702836,7.363136,8.545808
65,2,7.464988,7.3647103,8.545808
65,3,3.7827961,7.4117546,8.545808
66,1,7.464988,7.353878,7.8702836
66,2,3.7827961,7.3638234,7.8702836
66,3,7.741993,7.4004936,7.8702836
67,1,3.7827961,7.36104,7.464988
67,2,7.741993,7.3655586,7.464988
67,3,5.827923,7.3909044,7.464988
68,1,7.741993,7.4236727,3.7827961
68,2,5.827923,7.398243,3.7827961
68,3,8.776787,7.384759,3.7827961
69,1,5.827923,7.381091,7.741993
69,2,8.776787,7.3701315,7.741993
69,3,8.450462,7.401454,7.741993
70,1,8.776787,7.397601,5.827923
70,2,8.450462,7.3805842,5.827923
70,3,1.637403,7.396639,5.827923
71,1,8.450462,7.356877,8.776787
71,2,1.637403,7.3576517,8.776787
71,3,7.3017974,7.399378,8.776787
72,1,1.637403,7.3491764,8.450462
72,2,7.3017974,7.348889,8.450462
72,3,6.5368342,7.386874,8.450462
73,1,7.3017974,7.451159,1.637403
73,2,6.5368342,7.412952,1.637403
73,3,6.0026317,7.3731203,1.637403
74,1,6.5368342,7.3911023,7.3017974
74,2,6.0026317,7.373871,7.3017974
74,3,8.6358595,7.4030237,7.3017974
75,1,6.0026317,7.38618,6.5368342
75,2,8.6358595,7.374464,6.5368342
75,3,9.04294,7.4010434,6.5368342
76,1,8.6358595,7.393137,6.0026317
76,2,9.04294,7.379012,6.0026317
76,3,4.324559,7.39955,6.0026317
77,1,9.04294,7.356975,8.6358595
77,2,4.324559,7.358955,8.6358595
77,3,0.8908818,7.4007864,8.6358595
78,1,4.324559,7.3407373,9.04294
78,2,0.8908818,7.3433824,9.04294
78,3,6.4489293,7.3875465,9.04294
79,1,0.8908818,7.411406,4.324559
79,2,6.4489293,7.3872313,4.324559
79,3,6.3062506,7.373151,4.324559
80,1,6.4489293,7.4627695,0.8908818
80,2,6.3062506,7.413708,0.8908818
80,3,8.916717,7.388206,0.8908818
81,1,6.3062506,7.393568,6.4489293
81,2,8.916717,7.373161,6.4489293
81,3,7.6686406,7.4150963,6.4489293
82,1,8.916717,7.3803654,6.3062506
82,2,7.6686406,7.3713946,6.3062506
82,3,8.620012,7.411622,6.3062506
83,1,7.6686406,7.3437223,8.916717
83,2,8.620012,7.353966,8.916717
