train_hz,test_hz,rb_mse,rb_mae,sinr_mse,sinr_mae,throughput_mse,throughput_mae
5,800,35.92405700683594,3.9201695919036865,3.553994655609131,1.3342410326004028,13.288975715637207,2.5918354988098145
5,500,11.614813804626465,2.448779582977295,3.0575575828552246,1.2483563423156738,6.134160995483398,1.9337347745895386
5,400,8.300949096679688,2.1719095706939697,3.116987705230713,1.256601333618164,5.168634414672852,1.7852879762649536
5,300,5.7411298751831055,1.8549604415893555,3.6129133701324463,1.3695335388183594,4.6786956787109375,1.725831389427185
5,200,4.403491497039795,1.5677400827407837,3.2635695934295654,1.2647194862365723,3.6692590713500977,1.5032345056533813
5,100,4.202712059020996,1.5382598638534546,3.4507944583892822,1.3183530569076538,3.8406097888946533,1.5348695516586304
5,80,4.639130115509033,1.678158164024353,3.2370431423187256,1.2919758558273315,3.8587656021118164,1.5761135816574097
5,50,4.736067771911621,1.6630282402038574,3.567408561706543,1.3276046514511108,3.914245843887329,1.555426001548767
5,35,4.893514156341553,1.6971524953842163,3.745316743850708,1.3463659286499023,3.9315037727355957,1.5470075607299805
5,20,4.377875804901123,1.4793897867202759,3.540400743484497,1.3033626079559326,3.259474515914917,1.4076597690582275
5,5,1.6769943237304688,0.897310733795166,2.5753390789031982,1.1307244300842285,1.5010240077972412,0.8953772187232971
