h,method,sinr_mae,sinr_mse,corr,pred_std,true_std,pred_mean,true_mean
1,Last SINR,1.7812272310256958,5.786881446838379,-0.019963061437010765,1.6839150190353394,1.6846511363983154,7.142783164978027,7.141488552093506
2,Last SINR,1.7885208129882812,5.862875938415527,-0.03391319140791893,1.6839150190353394,1.6837432384490967,7.142783164978027,7.140052795410156
3,Last SINR,1.7864938974380493,5.4560112953186035,0.037937138229608536,1.6839150190353394,1.683919072151184,7.142783164978027,7.140311241149902
1,History Mean,1.3697212934494019,3.3394622802734375,0.0178289283066988,0.7387704849243164,1.6846511363983154,7.144342422485352,7.141488552093506
2,History Mean,1.3807752132415771,3.3513991832733154,0.011813863180577755,0.7387704849243164,1.6837432384490967,7.144342422485352,7.140052795410156
3,History Mean,1.358681321144104,3.2796993255615234,0.04086695984005928,0.7387704849243164,1.683919072151184,7.144342422485352,7.140311241149902
1,Train Mean,1.2434476613998413,2.8389716148376465,,0.0,1.6846511363983154,7.111152172088623,7.141488552093506
2,Train Mean,1.2420117855072021,2.8358283042907715,,0.0,1.6837432384490967,7.111152172088623,7.140052795410156
3,Train Mean,1.2422701120376587,2.836435079574585,,0.0,1.683919072151184,7.111152172088623,7.140311241149902
1,LSTM,1.2171621322631836,2.848665952682495,0.05726474151015282,0.08675085753202438,1.6846511363983154,7.2823004722595215,7.141488552093506
2,LSTM,1.218942403793335,2.840029716491699,0.041911061853170395,0.08147460967302322,1.6837432384490967,7.239545822143555,7.140052795410156
3,LSTM,1.2231762409210205,2.849792242050171,0.008533088490366936,0.07612661272287369,1.683919072151184,7.243279457092285,7.140311241149902
