window,h,true,lstm,last_sinr
45,2,1.6952134,7.2450695,7.6349497
45,3,9.031876,7.248767,7.6349497
46,1,1.6952134,7.30781,6.2165794
46,2,9.031876,7.2220097,6.2165794
46,3,8.671584,7.2462497,6.2165794
47,1,9.031876,7.38429,1.6952134
47,2,8.671584,7.3337097,1.6952134
47,3,6.1415167,7.1156297,1.6952134
48,1,8.671584,7.3672757,9.031876
48,2,6.1415167,7.323692,9.031876
48,3,7.8866496,7.2577877,9.031876
49,1,6.1415167,7.034095,8.671584
49,2,7.8866496,7.049707,8.671584
49,3,7.7819176,7.0400867,8.671584
50,1,7.8866496,7.228879,6.1415167
50,2,7.7819176,7.07982,6.1415167
50,3,7.5748925,7.1513467,6.1415167
51,1,7.7819176,7.2810426,7.8866496
51,2,7.5748925,7.2326736,7.8866496
51,3,7.796405,7.273984,7.8866496
52,1,7.5748925,7.2716155,7.7819176
52,2,7.796405,7.2365084,7.7819176
52,3,10.502633,7.2473736,7.7819176
53,1,7.796405,7.2824125,7.5748925
53,2,10.502633,7.2388377,7.5748925
53,3,7.878216,7.2481275,7.5748925
54,1,10.502633,7.274599,7.796405
54,2,7.878216,7.2403464,7.796405
54,3,8.290338,7.2411485,7.796405
55,1,7.878216,6.9225,10.502633
55,2,8.290338,7.372025,10.502633
55,3,5.8228965,7.1367006,10.502633
56,1,8.290338,7.393796,7.878216
56,2,5.8228965,7.25738,7.878216
56,3,3.779205,7.2678294,7.878216
57,1,5.8228965,7.2374897,8.290338
57,2,3.779205,7.1846104,8.290338
57,3,6.813749,7.194726,8.290338
58,1,3.779205,7.2514668,5.8228965
58,2,6.813749,7.1541767,5.8228965
58,3,6.9407887,7.1603813,5.8228965
59,1,6.813749,7.3813767,3.779205
59,2,6.9407887,7.208189,3.779205
59,3,4.898395,7.253062,3.779205
60,1,6.9407887,7.373854,6.813749
60,2,4.898395,7.294471,6.813749
60,3,8.081932,7.379727,6.813749
61,1,4.898395,7.313796,6.9407887
61,2,8.081932,7.267679,6.9407887
61,3,9.635776,7.3104215,6.9407887
62,1,8.081932,7.279232,4.898395
62,2,9.635776,7.122652,4.898395
62,3,7.8842783,7.201452,4.898395
63,1,9.635776,7.196895,8.081932
63,2,7.8842783,7.268254,8.081932
63,3,4.1600437,7.210263,8.081932
64,1,7.8842783,7.278924,9.635776
64,2,4.1600437,7.4375567,9.635776
64,3,7.6180816,7.383495,9.635776
65,1,4.1600437,7.3658314,7.8842783
65,2,7.6180816,7.2665815,7.8842783
65,3,8.185645,7.2744837,7.8842783
66,1,7.6180816,7.165383,4.1600437
66,2,8.185645,6.986297,4.1600437
66,3,7.8309665,7.026211,4.1600437
67,1,8.185645,7.314349,7.6180816
67,2,7.8309665,7.274152,7.6180816
67,3,7.174304,7.326805,7.6180816
68,1,7.8309665,7.197849,8.185645
68,2,7.174304,7.2075396,8.185645
68,3,5.1210203,7.2040367,8.185645
69,1,7.174304,7.2883677,7.8309665
69,2,5.1210203,7.2425904,7.8309665
69,3,7.253433,7.2527394,7.8309665
70,1,5.1210203,7.293513,7.174304
70,2,7.253433,7.2223682,7.174304
70,3,7.2701397,7.242851,7.174304
71,1,7.253433,7.2689815,5.1210203
71,2,7.2701397,7.140972,5.1210203
71,3,8.408089,7.178386,5.1210203
72,1,7.2701397,7.287523,7.253433
72,2,8.408089,7.257303,7.253433
72,3,-1.9378442,7.292342,7.253433
73,1,8.408089,7.2912602,7.2701397
73,2,-1.9378442,7.2611566,7.2701397
73,3,8.545808,7.279815,7.2701397
74,1,-1.9378442,7.2027035,8.408089
74,2,8.545808,7.2536206,8.408089
74,3,7.8702836,7.1968775,8.408089
75,1,8.545808,7.9443436,-1.9378442
75,2,7.8702836,7.5033636,-1.9378442
75,3,7.464988,6.8371997,-1.9378442
76,1,7.8702836,7.589763,8.545808
76,2,7.464988,6.969546,8.545808
76,3,3.7827961,7.1991973,8.545808
77,1,7.464988,6.998043,7.8702836
77,2,3.7827961,6.825565,7.8702836
77,3,7.741993,7.0240693,7.8702836
78,1,3.7827961,7.2357936,7.464988
78,2,7.741993,7.1136613,7.464988
78,3,5.827923,7.2338114,7.464988
79,1,7.741993,7.063803,3.7827961
79,2,5.827923,6.8414826,3.7827961
79,3,8.776787,6.9592648,3.7827961
80,1,5.827923,7.2881637,7.741993
80,2,8.776787,7.274348,7.741993
80,3,8.450462,7.311614,7.741993
81,1,8.776787,7.3352327,5.827923
81,2,8.450462,7.216696,5.827923
81,3,1.637403,7.2812133,5.827923
82,1,8.450462,7.1876254,8.776787
82,2,1.637403,7.285687,8.776787
82,3,7.3017974,7.2240834,8.776787
83,1,1.637403,7.2836256,8.450462
83,2,7.3017974,7.267462,8.450462
83,3,6.5368342,7.2454205,8.450462
84,1,7.3017974,7.402404,1.637403
84,2,6.5368342,7.3045845,1.637403
84,3,6.0026317,7.065181,1.637403
85,1,6.5368342,7.4233656,7.3017974
