window,h,true,lstm,last_sinr
0,1,8.918681,7.22925,6.8269587
0,2,8.157641,7.476281,6.8269587
0,3,5.9636693,7.4868383,6.8269587
1,1,8.157641,7.2801204,8.918681
1,2,5.9636693,7.443416,8.918681
1,3,8.284743,7.3980455,8.918681
2,1,5.9636693,7.389352,8.157641
2,2,8.284743,7.413581,8.157641
2,3,3.2195458,7.313789,8.157641
3,1,8.284743,7.4354625,5.9636693
3,2,3.2195458,7.3417573,5.9636693
3,3,6.5648336,7.2417626,5.9636693
4,1,3.2195458,7.3358297,8.284743
4,2,6.5648336,7.2528563,8.284743
4,3,8.078137,7.33661,8.284743
5,1,6.5648336,7.3935256,3.2195458
5,2,8.078137,7.306553,3.2195458
5,3,7.668651,7.3747277,3.2195458
6,1,8.078137,7.476581,6.5648336
6,2,7.668651,7.3717947,6.5648336
6,3,7.6337686,7.4368496,6.5648336
7,1,7.668651,7.358962,8.078137
7,2,7.6337686,7.434528,8.078137
7,3,6.081235,7.27116,8.078137
8,1,7.6337686,7.411003,7.668651
8,2,6.081235,7.386171,7.668651
8,3,7.1865463,7.184174,7.668651
9,1,6.081235,7.343317,7.6337686
9,2,7.1865463,7.2064466,7.6337686
9,3,7.240207,7.232772,7.6337686
10,1,7.1865463,7.3733497,6.081235
10,2,7.240207,7.2977495,6.081235
10,3,8.737161,7.3188114,6.081235
11,1,7.240207,7.316548,7.1865463
11,2,8.737161,7.280514,7.1865463
11,3,6.5537634,7.3919673,7.1865463
12,1,8.737161,7.303205,7.240207
12,2,6.5537634,7.3367534,7.240207
12,3,4.321047,7.406056,7.240207
13,1,6.5537634,7.3063984,8.737161
13,2,4.321047,7.4053884,8.737161
13,3,6.1979494,7.401459,8.737161
14,1,4.321047,7.393944,6.5537634
14,2,6.1979494,7.386276,6.5537634
14,3,8.425387,7.304458,6.5537634
15,1,6.1979494,7.412037,4.321047
15,2,8.425387,7.3202124,4.321047
15,3,5.73828,7.2986455,4.321047
16,1,8.425387,7.402958,6.1979494
16,2,5.73828,7.2692957,6.1979494
16,3,6.403908,7.409993,6.1979494
17,1,5.73828,7.2950287,8.425387
17,2,6.403908,7.4453135,8.425387
17,3,8.624588,7.3573174,8.425387
18,1,6.403908,7.5316267,5.73828
18,2,8.624588,7.351248,5.73828
18,3,6.9389524,7.1479154,5.73828
19,1,8.624588,7.311439,6.403908
19,2,6.9389524,7.1578865,6.403908
19,3,7.371309,7.2798395,6.403908
20,1,6.9389524,7.3031807,8.624588
20,2,7.371309,7.3668213,8.624588
20,3,8.800191,7.367853,8.624588
21,1,7.371309,7.34245,6.9389524
21,2,8.800191,7.4346604,6.9389524
21,3,0.26303503,7.3417497,6.9389524
22,1,8.800191,7.43227,7.371309
22,2,0.26303503,7.3091464,7.371309
22,3,7.9176416,7.2376676,7.371309
23,1,0.26303503,7.3351727,8.800191
23,2,7.9176416,7.31491,8.800191
23,3,10.287617,7.3394628,8.800191
24,1,7.9176416,7.521487,0.26303503
24,2,10.287617,7.461677,0.26303503
24,3,7.7977314,7.1796947,0.26303503
25,1,10.287617,7.4634075,7.9176416
25,2,7.7977314,7.2445602,7.9176416
25,3,6.6123796,7.2702947,7.9176416
26,1,7.7977314,7.299196,10.287617
26,2,6.6123796,7.5075417,10.287617
26,3,6.9413238,7.282564,10.287617
27,1,6.6123796,7.4893994,7.7977314
27,2,6.9413238,7.39244,7.7977314
27,3,8.666145,7.1215076,7.7977314
28,1,6.9413238,7.3354244,6.6123796
28,2,8.666145,7.213932,6.6123796
28,3,5.895788,7.2817187,6.6123796
29,1,8.666145,7.309142,6.9413238
29,2,5.895788,7.210363,6.9413238
29,3,5.269019,7.374809,6.9413238
30,1,5.895788,7.264792,8.666145
30,2,5.269019,7.3632503,8.666145
30,3,6.760107,7.412754,8.666145
31,1,5.269019,7.3546224,5.895788
31,2,6.760107,7.3890915,5.895788
31,3,8.359557,7.349589,5.895788
32,1,6.760107,7.4189596,5.269019
32,2,8.359557,7.33313,5.269019
32,3,7.667379,7.2891507,5.269019
33,1,8.359557,7.338868,6.760107
33,2,7.667379,7.284612,6.760107
33,3,8.980739,7.392751,6.760107
34,1,7.667379,7.282264,8.359557
34,2,8.980739,7.425876,8.359557
34,3,5.5354304,7.39962,8.359557
35,1,8.980739,7.3972363,7.667379
35,2,5.5354304,7.401226,7.667379
35,3,5.109353,7.2918625,7.667379
36,1,5.5354304,7.41057,8.980739
36,2,5.109353,7.318834,8.980739
36,3,5.652489,7.2414975,8.980739
37,1,5.109353,7.381308,5.5354304
37,2,5.652489,7.28611,5.5354304
37,3,8.757663,7.2925096,5.5354304
38,1,5.652489,7.3571196,5.109353
38,2,8.757663,7.2524157,5.109353
38,3,7.6897645,7.3751516,5.109353
39,1,8.757663,7.4524317,5.652489
39,2,7.6897645,7.289444,5.652489
39,3,6.2775574,7.466987,5.652489
40,1,7.6897645,7.338134,8.757663
40,2,6.2775574,7.4797306,8.757663
40,3,7.2903924,7.300348,8.757663
41,1,6.2775574,7.546028,7.6897645
41,2,7.2903924,7.3274155,7.6897645
41,3,6.9406424,7.1284633,7.6897645
42,1,7.2903924,7.3848634,6.2775574
42,2,6.9406424,7.192858,6.2775574
42,3,7.6349497,7.223612,6.2775574
43,1,6.9406424,7.33875,7.2903924
43,2,7.6349497,7.242566,7.2903924
43,3,6.2165794,7.3300405,7.2903924
44,1,7.6349497,7.29457,6.9406424
44,2,6.2165794,7.302462,6.9406424
44,3,1.6952134,7.411787,6.9406424
45,1,6.2165794,7.3101873,7.6349497
45,2,1.6952134,7.3810363,7.6349497
45,3,9.031876,7.4002943,7.6349497
46,1,1.6952134,7.364134,6.2165794
46,2,9.031876,7.3706565,6.2165794
46,3,8.671584,7.3445225,6.2165794
47,1,9.031876,7.4612093,1.6952134
47,2,8.671584,7.401068,1.6952134
47,3,6.1415167,7.2763515,1.6952134
48,1,8.671584,7.3698206,9.031876
48,2,6.1415167,7.299894,9.031876
48,3,7.8866496,7.2168055,9.031876
49,1,6.1415167,7.298734,8.671584
49,2,7.8866496,6.967173,8.671584
49,3,7.7819176,7.1144953,8.671584
50,1,7.8866496,7.0044723,6.1415167
50,2,7.7819176,7.2399664,6.1415167
50,3,7.5748925,7.5947676,6.1415167
51,1,7.7819176,7.1998844,7.8866496
51,2,7.5748925,7.393343,7.8866496
51,3,7.796405,7.4743366,7.8866496
52,1,7.5748925,7.2865014,7.7819176
52,2,7.796405,7.2910542,7.7819176
52,3,10.502633,7.4022946,7.7819176
53,1,7.796405,7.313272,7.5748925
53,2,10.502633,7.3758526,7.5748925
53,3,7.878216,7.37993,7.5748925
54,1,10.502633,7.3720236,7.796405
54,2,7.878216,7.324434,7.796405
54,3,8.290338,7.310186,7.796405
55,1,7.878216,7.315752,10.502633
55,2,8.290338,7.3545985,10.502633
55,3,5.8228965,7.364357,10.502633
56,1,8.290338,7.3648305,7.878216
56,2,5.8228965,7.3497634,7.878216
56,3,3.779205,7.304658,7.878216
57,1,5.8228965,7.3667502,8.290338
57,2,3.779205,7.265446,8.290338
57,3,6.813749,7.2877297,8.290338
58,1,3.779205,7.3104343,5.8228965
58,2,6.813749,7.2008677,5.8228965
58,3,6.9407887,7.361924,5.8228965
59,1,6.813749,7.430242,3.779205
59,2,6.9407887,7.290902,3.779205
59,3,4.898395,7.47541,3.779205
60,1,6.9407887,7.3763256,6.813749
60,2,4.898395,7.2985854,6.813749
60,3,8.081932,7.4422283,6.813749
61,1,4.898395,7.355312,6.9407887
61,2,8.081932,7.401826,6.9407887
