config_id,val_mae,epochs_ran,hidden_dim,num_layers,dropout,lr,weight_decay,residual,loss,beta
0,1.239063024520874,21,16,1,0.0,0.001,0.0001,False,smooth_l1,0.25
1,1.2391765117645264,25,32,1,0.0,0.001,0.0001,False,smooth_l1,0.25
2,1.239402413368225,33,64,1,0.0,0.001,0.0001,False,smooth_l1,0.25
3,1.2387099266052246,23,32,2,0.1,0.001,0.0001,False,smooth_l1,0.25
4,1.2386202812194824,25,64,2,0.1,0.001,0.0001,False,smooth_l1,0.25
5,1.2390872240066528,25,32,1,0.0,0.0003,0.0001,False,smooth_l1,0.25
6,1.2391278743743896,19,64,1,0.0,0.0003,0.0001,False,smooth_l1,0.25
7,1.2396295070648193,45,32,1,0.0,0.001,0.0001,True,smooth_l1,0.25
8,1.2387827634811401,45,64,1,0.0,0.001,0.0001,True,smooth_l1,0.25
9,1.238834261894226,71,32,2,0.1,0.001,0.0001,True,smooth_l1,0.25
10,1.2395071983337402,38,64,2,0.1,0.001,0.0001,True,smooth_l1,0.25
11,1.2387663125991821,55,64,1,0.0,0.0003,0.0001,True,smooth_l1,0.25
12,1.2393885850906372,44,8,1,0.0,0.001,0.0,False,smooth_l1,0.25
13,1.2376899719238281,67,128,1,0.0,0.001,1e-05,False,smooth_l1,0.25
14,1.2393962144851685,38,128,1,0.0,0.0003,1e-05,False,smooth_l1,0.25
15,1.2394648790359497,52,128,1,0.0,0.001,1e-05,True,smooth_l1,0.25
16,1.2388116121292114,19,128,2,0.0,0.001,1e-05,False,smooth_l1,0.25
17,1.2394782304763794,57,128,2,0.1,0.001,1e-05,True,smooth_l1,0.25
18,1.2372535467147827,86,128,3,0.1,0.001,1e-05,False,smooth_l1,0.25
19,1.2391809225082397,42,128,3,0.1,0.0003,1e-05,True,smooth_l1,0.25
20,1.2393412590026855,34,256,1,0.0,0.0003,1e-05,False,smooth_l1,0.25
21,1.2387596368789673,39,256,2,0.1,0.0003,1e-05,False,smooth_l1,0.25
22,1.2393099069595337,35,256,2,0.2,0.0003,0.0001,True,smooth_l1,0.25
23,1.2378108501434326,81,64,3,0.1,0.001,0.0001,False,smooth_l1,0.25
24,1.2390620708465576,62,64,3,0.2,0.0003,0.0001,True,smooth_l1,0.25
25,1.2388432025909424,32,32,2,0.2,0.001,0.001,False,smooth_l1,0.25
26,1.2379074096679688,74,64,2,0.3,0.001,0.001,False,smooth_l1,0.25
27,1.2462093830108643,40,64,1,0.0,0.001,0.0,False,mse,
28,1.240153431892395,20,128,1,0.0,0.001,1e-05,False,mse,
29,1.241546630859375,38,128,2,0.1,0.0003,1e-05,False,mse,
30,1.2391045093536377,42,64,1,0.0,0.001,0.0,False,l1,
31,1.2405673265457153,31,128,2,0.1,0.001,1e-05,True,l1,
